Time(ms), X(m), Y(m), Z(m), VX(m/s), VY(m/s), VZ(m/s), AX(m/s^2), AY(m/s^2), AZ(m/s^2), OX(degrees), OY(degrees), OZ(degrees), WX(degrees/s), WY(degrees/s), WZ(degrees/s)
12234.00,0.00,0.00,0.00,0.00,0.00,-4.93,0.00,0.00,-1990.92,-0.00,-0.00,0.00,0.00,0.00,-0.00
12241.00,0.00,0.00,0.04,0.00,0.00,5.64,0.00,0.00,1509.16,-0.00,-0.00,0.00,0.00,0.00,-0.00
12250.00,0.00,0.00,0.01,0.00,0.00,-3.57,0.00,0.00,-1023.04,-0.00,-0.00,0.00,0.00,0.00,0.00
12265.00,0.00,0.00,-0.01,0.00,0.00,-1.11,0.00,0.00,163.81,-0.00,-0.00,0.00,-0.00,-0.00,0.00
12277.00,0.00,0.00,0.04,0.00,0.00,4.25,0.00,0.00,446.99,-0.00,-0.00,0.00,0.00,0.00,0.00
12283.00,0.00,0.00,0.06,0.00,0.00,2.91,0.00,0.00,-223.97,-0.00,-0.00,0.00,0.00,0.00,0.00
12291.00,0.00,0.00,0.09,0.00,0.00,3.56,0.00,0.00,81.25,-0.00,-0.00,0.00,0.00,0.00,0.00
12299.00,0.00,0.00,-0.01,0.00,0.00,-12.67,0.00,0.00,-2028.06,-0.00,-0.00,0.00,0.00,0.00,-0.00
12304.00,0.00,0.00,0.07,0.00,0.00,17.00,0.00,0.00,5933.56,-0.00,-0.00,0.00,0.00,0.00,-0.00
12312.00,0.00,0.00,0.05,0.00,0.00,-3.26,0.00,0.00,-2533.03,-0.00,-0.00,0.00,-0.00,-0.00,0.00
12320.00,0.00,0.00,0.04,0.00,0.00,-1.34,0.00,0.00,239.83,-0.00,-0.00,0.00,0.00,-0.00,0.00
12328.00,0.00,0.00,0.10,0.00,0.00,8.68,0.00,0.00,1253.23,-0.00,-0.00,0.00,0.00,0.00,0.00
12333.00,0.00,0.00,0.02,0.00,0.00,-17.70,0.00,0.00,-5276.56,-0.00,-0.00,0.00,0.00,0.00,0.00
12341.00,0.00,0.00,0.12,0.00,0.00,12.37,0.00,0.00,3759.51,-0.00,-0.00,0.00,0.00,-0.00,0.00
12354.00,0.00,0.00,0.16,0.00,0.00,3.77,0.00,0.00,-661.66,-0.00,-0.00,0.00,0.00,-0.00,0.00
12372.00,0.00,0.00,-0.03,0.00,0.00,-10.64,0.00,0.00,-800.58,-0.00,-0.00,0.00,0.00,0.00,0.00
12380.00,0.00,0.00,0.10,0.00,0.00,15.75,0.00,0.00,3298.59,-0.00,-0.00,0.00,0.00,-0.00,0.00
12387.00,0.00,0.00,-0.05,0.00,0.00,-21.64,0.00,0.00,-5342.04,-0.00,-0.00,0.00,0.00,0.00,0.00
12393.00,0.00,0.00,0.04,0.00,0.00,16.10,0.00,0.00,6290.20,-0.00,-0.00,0.00,0.00,0.00,0.00
12401.00,0.00,0.00,0.06,0.00,0.00,2.00,0.00,0.00,-1762.42,-0.00,-0.00,0.00,-0.00,0.00,0.00
