Time(ms), X(m), Y(m), Z(m), VX(m/s), VY(m/s), VZ(m/s), AX(m/s^2), AY(m/s^2), AZ(m/s^2), OX(degrees), OY(degrees), OZ(degrees), WX(degrees/s), WY(degrees/s), WZ(degrees/s), execution_time
12180.00,0.00,0.00,0.14,0.00,0.00,16.29,0.00,0.00,3615.09,-0.00,-0.00,-0.00,0.00,0.00,0.00,5.00
12185.00,0.00,0.00,0.05,0.00,0.00,-16.64,0.00,0.00,-6585.37,-0.00,-0.00,-0.00,0.00,0.00,-0.00,6.00
12191.00,0.00,0.00,0.05,0.00,0.00,-1.48,0.00,0.00,2527.23,-0.00,-0.00,-0.00,0.00,0.00,-0.00,18.00
12209.00,0.00,0.00,0.02,0.00,0.00,-1.42,0.00,0.00,3.21,-0.00,-0.00,-0.00,0.00,0.00,0.00,7.00
12216.00,0.00,0.00,0.06,0.00,0.00,6.37,0.00,0.00,1112.44,-0.00,-0.00,-0.00,0.00,0.00,0.00,5.00
12221.00,0.00,0.00,0.09,0.00,0.00,4.70,0.00,0.00,-334.40,-0.00,-0.00,-0.00,0.00,0.00,0.00,9.00
12230.00,0.00,0.00,-0.05,0.00,0.00,-15.45,0.00,0.00,-2238.88,-0.00,-0.00,-0.00,0.00,0.00,0.00,5.00
12235.00,0.00,0.00,0.06,0.00,0.00,22.83,0.00,0.00,7656.42,-0.00,-0.00,-0.00,0.00,0.00,0.00,6.00
12246.00,0.00,0.00,0.07,0.00,0.00,0.64,0.00,0.00,-2017.18,-0.00,-0.00,-0.00,0.00,0.00,-0.00,7.00
12253.00,0.00,0.00,-0.00,0.00,0.00,-10.50,0.00,0.00,-1590.73,-0.00,-0.00,-0.00,0.00,0.00,-0.00,6.00
12259.00,0.00,0.00,0.09,0.00,0.00,15.74,0.00,0.00,4372.78,-0.00,-0.00,-0.00,-0.00,0.00,0.00,7.00
12266.00,0.00,0.00,0.02,0.00,0.00,-10.03,0.00,0.00,-3681.57,-0.00,-0.00,-0.00,0.00,0.00,0.00,5.00
12271.00,0.00,0.00,-0.01,0.00,0.00,-6.48,0.00,0.00,710.80,-0.00,-0.00,-0.00,0.00,0.00,0.00,9.00
12280.00,0.00,0.00,-0.03,0.00,0.00,-1.60,0.00,0.00,542.06,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,5.00
12285.00,0.00,0.00,0.00,0.00,0.00,5.50,0.00,0.00,1419.08,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,16.00
12301.00,0.00,0.00,0.12,0.00,0.00,7.46,0.00,0.00,122.57,-0.00,-0.00,-0.00,-0.00,0.00,-0.00,9.00
12310.00,0.00,0.00,0.03,0.00,0.00,-10.53,0.00,0.00,-1998.40,-0.00,-0.00,-0.00,0.00,-0.00,0.00,7.00
12317.00,0.00,0.00,0.07,0.00,0.00,6.17,0.00,0.00,2385.06,-0.00,-0.00,-0.00,0.00,0.00,0.00,6.00
12328.00,0.00,0.00,0.02,0.00,0.00,-4.38,0.00,0.00,-959.36,-0.00,-0.00,-0.00,0.00,0.00,0.00,6.00
12334.00,0.00,0.00,0.00,0.00,0.00,-2.68,0.00,0.00,284.55,-0.00,-0.00,-0.00,0.00,0.00,0.00,6.00
12340.00,0.00,0.00,-0.00,0.00,0.00,-1.34,0.00,0.00,222.65,-0.00,-0.00,-0.00,0.00,-0.00,0.00,8.00
12348.00,0.00,0.00,0.00,0.00,0.00,1.02,0.00,0.00,295.41,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,6.00
12354.00,0.00,0.00,-0.01,0.00,0.00,-2.00,0.00,0.00,-504.50,-0.00,-0.00,-0.00,0.00,-0.00,-0.00,7.00
12361.00,0.00,0.00,-0.02,0.00,0.00,-1.28,0.00,0.00,103.30,-0.00,-0.00,-0.00,0.00,0.00,-0.00,8.00
12369.00,0.00,0.00,0.03,0.00,0.00,6.16,0.00,0.00,930.60,-0.00,-0.00,-0.00,0.00,-0.00,0.00,7.00
12376.00,0.00,0.00,0.09,0.00,0.00,8.63,0.00,0.00,352.46,-0.00,-0.00,-0.00,0.00,0.00,0.00,6.00
12382.00,0.00,0.00,0.02,0.00,0.00,-11.53,0.00,0.00,-3359.85,-0.00,-0.00,-0.00,0.00,0.00,0.00,6.00
12388.00,0.00,0.00,0.04,0.00,0.00,3.07,0.00,0.00,2432.36,-0.00,-0.00,-0.00,0.00,-0.00,0.00,5.00
12398.00,0.00,0.00,0.00,0.00,0.00,-3.94,0.00,0.00,-700.49,-0.00,-0.00,-0.00,0.00,-0.00,0.00,16.00
12414.00,0.00,0.00,0.08,0.00,0.00,5.00,0.00,0.00,558.66,-0.00,-0.00,-0.00,0.00,0.00,0.00,7.00
12421.00,0.00,0.00,-0.03,0.00,0.00,-16.49,0.00,0.00,-3070.35,0.00,-0.00,-0.00,0.00,0.00,0.00,9.00
12430.00,0.00,0.00,0.02,0.00,0.00,5.31,0.00,0.00,2422.62,-0.00,-0.00,-0.00,-0.00,0.00,0.00,5.00
12435.00,0.00,0.00,-0.01,0.00,0.00,-5.55,0.00,0.00,-2171.46,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,6.00
12441.00,0.00,0.00,0.03,0.00,0.00,6.66,0.00,0.00,2034.11,-0.00,-0.00,-0.00,-0.00,-0.01,0.00,9.00
12450.00,0.00,0.00,-0.01,0.00,0.00,-4.67,0.00,0.00,-1259.06,-0.00,-0.00,-0.00,0.00,-0.00,0.00,7.00
12457.00,0.00,0.00,0.15,0.00,0.00,23.53,0.00,0.00,4028.38,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,6.00
12463.00,0.00,0.00,-0.02,0.00,0.00,-28.15,0.00,0.00,-8613.04,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,7.00
12470.00,0.00,0.00,-0.01,0.00,0.00,1.65,0.00,0.00,4257.42,-0.00,-0.00,-0.00,0.00,-0.01,0.00,8.00
12483.00,0.00,0.00,0.05,0.00,0.00,4.64,0.00,0.00,230.02,0.00,-0.00,-0.00,0.00,-0.00,-0.00,18.00
12501.00,0.00,0.00,0.04,0.00,0.00,-0.59,0.00,0.00,-290.24,0.00,-0.00,-0.00,0.00,-0.01,0.00,8.00
12509.00,0.00,0.00,0.01,0.00,0.00,-4.51,0.00,0.00,-490.60,0.00,-0.00,-0.00,0.00,-0.00,0.00,7.00
12516.00,0.00,0.00,-0.14,0.00,0.00,-20.30,0.00,0.00,-2255.21,0.00,-0.00,-0.00,-0.00,-0.00,0.00,6.00
12522.00,0.00,0.00,0.02,0.00,0.00,26.37,0.00,0.00,7778.11,-0.00,-0.00,-0.00,-0.00,-0.00,0.00,8.00
12530.00,0.00,0.00,-0.03,0.00,0.00,-6.09,0.00,0.00,-4057.38,-0.00,-0.00,-0.00,-0.00,-0.01,0.00,6.00
12536.00,0.00,0.00,-0.01,0.00,0.00,2.73,0.00,0.00,1469.05,-0.00,-0.00,-0.00,0.00,-0.00,0.00,5.00
12541.00,0.00,0.00,0.01,0.00,0.00,4.75,0.00,0.00,405.43,-0.00,-0.00,-0.00,0.00,0.00,0.00,9.00
12550.00,0.00,0.00,0.03,0.00,0.00,1.57,0.00,0.00,-353.47,0.00,-0.00,-0.00,0.00,-0.00,-0.00,8.00
12558.00,0.00,0.00,-0.06,0.00,0.00,-10.99,0.00,0.00,-1570.10,0.00,-0.00,-0.00,0.00,-0.00,0.00,5.00
12573.00,0.00,0.00,-0.00,0.00,0.00,3.87,0.00,0.00,990.25,0.00,-0.00,-0.00,0.00,-0.00,0.00,9.00
12582.00,0.00,0.00,0.03,0.00,0.00,3.93,0.00,0.00,7.57,0.00,-0.00,-0.00,0.00,-0.00,0.00,6.00
12588.00,0.00,0.00,0.09,0.00,0.00,8.91,0.00,0.00,829.65,0.00,-0.00,-0.00,0.00,0.00,-0.00,15.00
12603.00,0.00,0.00,0.01,0.00,0.00,-5.04,0.00,0.00,-930.27,0.00,-0.00,-0.00,0.00,-0.00,-0.00,8.00
12611.00,0.00,0.00,-0.03,0.00,0.00,-5.78,0.00,0.00,-91.72,0.00,-0.00,-0.00,0.00,-0.00,-0.00,8.00
12619.00,0.00,0.00,0.04,0.00,0.00,9.11,0.00,0.00,1860.77,0.00,-0.00,-0.00,0.00,-0.00,0.00,5.00
12624.00,0.00,0.00,-0.05,0.00,0.00,-18.56,0.00,0.00,-5534.54,0.00,-0.00,-0.00,0.00,-0.00,0.00,7.00
12631.00,0.00,0.00,0.04,0.00,0.00,13.90,0.00,0.00,4637.73,0.00,-0.00,-0.00,0.00,-0.00,0.00,6.00
12637.00,0.00,0.00,0.06,0.00,0.00,2.06,0.00,0.00,-1973.56,0.00,-0.00,-0.00,-0.00,-0.00,0.00,5.00
